ID,sex,svl,mass,fat,specimen
14Sep14.03,F,70,186,6,FRESH
496,M,76,310,11,NA
16Sep14.05,M,77,260,6,FRESH
15Sep14.02,M,78,262,8,FRESH
13Sep14.02,M,81,306,4,FRESH
5Nov13.01,M,93.5,605,18.959,FRESH
758,M,103,960,28,NA
485,F,105,800,17,NA
535,M,106,990,39,NA
495,F,108,490,5,NA
24Mar07.01,F,108,674,8,FROZEN
14May09.02,F,109,992,10,FROZEN
11Aug14.02,M,111.5,694,10,FRESH
16Apr14.02,F,112,854,10,FRESH
28Apr14.01,F,113.5,862,12,FRESH
19Jan14.01,F,114,1334,56,FROZEN
725,F,115,1110,34,NA
02May09.01,F,116.5,1168,24,FROZEN
17Apr14.01,M,117.5,1124,34,FRESH
09Jul14.02,F,121,950,8,FRESH
25Jul14.02,M,128,1206,20,FRESH
16Aug14.04,M,137,1520,52,FRESH
374,M,139.5,1830,73,NA
06Aug14.07,M,140,1642,36,FRESH
01Sep14.01,M,142,1738,48,FRESH
849,F,145,1950,65,NA
02Sep09.01,F,146,1588,40,FROZEN
20Aug14.03,M,151,1994,68,FRESH
453,F,158,2360,48,NA
165,F,160,2300,15,NA
06Aug14.08,F,160,2578,158,FRESH
30Apr14.01,F,160,2492,84,FRESH
509,M,161,3070,124,NA
210,F,164,2690,91,NA
489,M,169,3690,114,NA
02Jan14.01,F,169,3904,290,FROZEN
306,M,170,5010,253,NA
471,M,170,3840,226,NA
559,F,171,2570,48,NA
514,M,173,4130,258,NA
14Jul14.02,F,173,2778,88,FRESH
469,M,174,3250,124,NA
28Jul14.01,F,174,2692,50,FRESH
909,F,176,3270,97,NA
202,M,177,3450,114,NA
14Feb14.01,M,177,4126,184,FROZEN
1401,M,178,4010,202,NA
20Feb14.01,M,178.5,5362,268,FROZEN
901,M,181,3970,142,NA
1238,F,181,3690,276,NA
993,F,182.5,5150,286,NA
1178,M,182.5,4170,242,NA
460,F,183,3720,226,NA
14Apr14.01,F,183,3710,140,FRESH
543,M,185,3870,310,NA
10May14.01,F,185,3918,274,FRESH
16Aug14.02,F,185,2338,64,FRESH
19Jun10.01,M,186,3848,262,FROZEN
740,F,186.5,4370,540,NA
1196,M,186.5,4370,266,NA
568,M,187,4690,254,NA
1204,M,187.5,3910,158,NA
958,M,188,3930,208,NA
06Aug14.09,F,188,3234,126,FRESH
13Sep14.01,M,188,3146,50,FRESH
11Jul14.01,F,188.5,4524,558,FRESH
462,M,189,4030,180,NA
03Jul14.01,F,189,2456,34,FRESH
1177,M,189.5,4050,182,NA
513,M,190,6034,496,NA
